name,region,tags,thumb,url,idx
그레이스파티 인천점,인천 부평구,그레이스파티,https://weddingcrowd.kr/data/hall/2509/20250923031902_811762_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=485,485
기독교연합회관웨딩홀(구.기독교연합회관),서울특별시 종로구,,https://weddingcrowd.kr/data/hall/2408/20240812045122_260502_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=108,108
까사그랑데센트로,서울 광진구,,https://weddingcrowd.kr/data/hall/2411/20241128053534_699324_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=1739,1739
꼬띠움 웨딩(구.목화예식장),인천 남동구,꼬띠움웨딩|인천목화예식장|호텔식웨딩홀|채플웨딩홀|인천웨딩홀|웨딩홀추천|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210423150904_꼬띠움.jpg,https://weddingcrowd.kr/hall/view.php?idx=504,504
나인트리 프리미어 로카우스 호텔 서울 용산,서울 용산구,,https://weddingcrowd.kr/data/hall/2407/20240724062122_249982_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=1643,1643
낙원웨딩홀,경기 의정부시,낙원웨딩홀|의정부인기웨딩홀|호텔식웨딩홀|하우스웨딩|역세권웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422170446_낙원웨딩홀.jpg,https://weddingcrowd.kr/hall/view.php?idx=267,267
남산예술원웨딩홀,서울특별시 용산구,남산예술원|용산인기웨딩홀|서울웨딩홀|야외웨딩홀|소규모웨딩홀|한정식웨딩홀|나이트웨딩|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422095216_남산예술원웨딩홀.jpg,https://weddingcrowd.kr/hall/view.php?idx=19,19
노바웨딩홀,경기 의정부시,노바웨딩홀|의정부웨딩홀|컨벤션웨딩홀|경기웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422160233_노바웨딩홀.jpg,https://weddingcrowd.kr/hall/view.php?idx=227,227
노보텔 앰배서더 강남,서울 강남구,노보텔앰배서더강남|강남구호텔예식|어두운분위기|편리한주차|교통편이좋은|가성비좋은식사|분위기좋은로비|결혼준비,https://weddingcrowd.kr/data/hall/2602/20260226041152_178485_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=160,160
노보텔앰배서더 대구,대구 중구,,https://weddingcrowd.kr/data/hall/2406/20221012155558_노보.jpg,https://weddingcrowd.kr/hall/view.php?idx=1072,1072
노보텔앰배서더 독산,서울 금천구,노보텔앰배서더독산|금천구웨딩홀|대규모웨딩홀|호텔웨딩홀|한정식웨딩홀|럭셔리웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422143355_102.jpg,https://weddingcrowd.kr/hall/view.php?idx=568,568
노보텔앰배서더서울동대문,서울 중구,,https://weddingcrowd.kr/data/hall/2502/20250204121817_934749_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=1745,1745
노블레스웨딩컨벤션,경기도 수원시,수원노블레스웨딩컨벤션|수원웨딩홀|컨벤션웨딩홀|단독웨딩홀|천고높은웨딩홀|한정식웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422171652_수원노블레스웨딩컨벤션.jpg,https://weddingcrowd.kr/hall/view.php?idx=281,281
노블레스컨벤션웨딩홀,충남 논산시,,https://weddingcrowd.kr/data/hall/2408/20240814054721_159314_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=1694,1694
노블리안웨딩컨벤션,경기 부천시,노블리안웨딩컨벤션|유로피안웨딩홀|부천인기웨딩홀|천고가높은웨딩홀|고품격웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422174409_노블리안웨딩컨벤션.jpg,https://weddingcrowd.kr/hall/view.php?idx=295,295
